Questions,Answers
What is the minimum SGPA should i maintain in each semester to crack tech placement easily? ,"A CPGA above 7.5 would be safe when it comes to applying for jobs specially in IT sector or Non-core jobs, In core jobs a higher sgpa is appericiable."
why the software of the pc in computer lab is very old fashioned ?,"Jadavpur University being a state funded university faces shortage of monetary funding which results in poor infrastructure and at university level they are doing their best to provide the best facility they can , but often they have turn to the alumnis for funding."
Which companies related to core sector come to take our placement generally?,"No company come for Production engineers only in core sectors basically comapanies like ITC, Tata , Bajaj Auto etc allow Mechanical and Production deptartment students only for their job role as.GET  and also their are some companies like L&T, Adani, Maruti Suzuki, tega, Godrej, Unilever which allow production engineering students for their campus placements but all of these companies do not visit campus every year they come according to their vacancies and similar goes for PSUs. "
Which are the best institues for performing internships in the core sector within India ?,"You can perform internships in the core sector in two forms one is research internship another is a core internship
1. For research internships: apply to different research institutes in India such as IITs, IISc IIMs, NITs, NITIE Mumbai, TIFR, HBNI and also institutes abroad of your liking
2. For core internships you can apply into different companies such as the PSUs namely NTPC, Power Grid India, Damodar Valley Corporation, HPCL, IOCL, GAIL, HAL etc. You can also apply into private companies specializing in core Engineering"
What is the overall placement scenario ?,"As of 2022, 95% got placed in the domains of Core, Consultancy and IT sector.Students recieved a total of 57 offers."
How effective is our lab activities involved in the course?,Basically if you pursue your career in core domain then you will get immense facility or pursue higher studies or GATE then you will get a good practical knowledge about the subject and hands on expeienece which will be very helpful for you future and you will confident about what you are learning beacuse the theoretical part only gives the certain idea about the subject. 
Is industrial training necessary after 2nd year or can i do research internship in place of that in any domain?,"No, Industrial training is not compusory for everyone if you wish you can do reserach internship in your favourite domain but it should be offline according to our Professors so that you will learn better if you do it practically going on spot and also doing a research internship will advisable rather than going for any industial training if you want to pursue higher studies in your future then reaserch internship will be more benificial for you."
what things to keep in mind for grabbing a tech job on campus.?,"You will be having a screening round ,for non CS,IT branches , try to be among the top performers of the round. Practice DSA and problem solving ,have some good projects and a clear understanding about the cs fundamental topics."
How to prepare for scoring good marks in class test and semester exams for our department?,You can take referrence from youtube videos and class notes for understanding the subject first then you can refer previous year questions that has been asked in from particualr topic and prepare for the same type of questions and can also take tips from seniors who have scored well in that subject before.  
What is the scope of getting foreign internships other than it sector after third year?,"You can get internship opportunities in non IT domains abroad in form of research internships. You can apply for programs which are looking for research interns such as MITACS, DAAD-WISE scholarship, Charpak Scholarship, OIST, ANU fellowship etc. You can also look for internships in consulancy and core domains by cold messaging on hiring sites."
How internship opportunities can be increased in the department?, Seniors specially should help the juniors in this matter because they have much more experience and exposure to the comapanies about their work and they have much more connections that they can use to ask to the companies and guide the juniors in the same way so that internship opputunities can be increased and they seniors who have joined companies as a full time employee can ask their comapny if there are any existing internships oppurtunities that our juniors can apply for. If someone has connections then they can use their connections for helping other batchmates to get internships who doesn't have connctions in their field of interest which they can use for their internship.      
How to get more time for focussing on extra skills like coding ?,"For departmental study you can cover most subjects and get a decent gpa just by studying two or three weeks before the exam ,rest of the time you can devote to coding and you can make a routine and follow it for better time mangement."
How to know about case studies and how are they helpful?,Go through casebooks that are provided by different institutions and try to take part in case competition on different platforms. Case study will help you sharpen your analytical thinking and decision making and give a general prospect of how businesses work which will help you while appearing for Placements in the field of Consultancy.
What is the necessary cgpa criteria for internship and placement in IT sector and core sector respectively?,"A CPGA above 7.5 would be safe when it comes to applying for jobs specially in IT sector or Non-core jobs, In core jobs a higher sgpa is appericiable but then also you need not mainatain a very high CGPA from placements point of view."
Should I target industrial training or research project if I don't want to go to research?,"No, Industrial training is not compusory for everyone if you wish you can do reserach internship in your favourite domain but it should be offline according to our Professors so that you will learn better if you do it practically going on spot and also doing a research internship will advisable rather than going for any industial training if you want to pursue higher studies in your future then reaserch internship will be more benificial for you."
Since we are getting the second year completed in just 7 months will it affect us in future?,"Ideally if there is no delay in begining the session according to the usual academic that our University follow then you would get roughly about 5 months from an entire semester in which you can assume your last month is reserved for your final semester exams for that particular semester and within this remianing 4 months you have to complete your entire curriculum for that semester along with the holidays in between and 2 class tests for each subject on that particular semester so roughly if you calculate you get around 3 months for your curriculum and preperationfor the semester .Now if your session starts in delay than the usual academic calendar then the whole process will reduce down to 4 months means you will get 4 for the entire semester including sem exams, 2 CTs, holidays.  So till you get to learn about the subjects in detail you are intersted in till then it is fine or in that small period of time you should focus more on subjects that are important for your future. "
What are the best companies for industrial training?,There are no such things like best companies for Industrial training if you visit a industry and spend good amount of time every day for one month tenure period within the industry then you will get to know how that particular industry is functioning.Also try to go on such an industry where you will get know about the company in details because that is main motive of the sending you for an industrial training so that you get an industrial exposure how a company operates in real world.   
Why hasn't the name of the Department been upgraded?,"Production Engineering was a department started by Prof. Amitabha Bhattacharya, the name of the department has a deep emotion and history behind it. Production Engineering in this modern time even though may sound like a misnomer when IITs have Industrial Engineering or Manufacturing Sciences department, the change of name would depend upon the stakeholders of the department which includes students and Professors. "
Are studying these departmental subjects fruitful in the future even if I am not interested in core ( if yes then which subjects),"So in your 2nd year according to curriculum you will have many different core subjects like Fluid mechanics,Thermodynamics and heat transfer, Analysis and synthesis of mechanism, Projection ans spatial graphics, Material science and technology, Machine dynamics, Primary production process each of which has it own importance which depends on you either you will be doing higher studies, targeting core jobs or preparing for GATE so you have to choose according to you future on which subjects will you focus more like for example in Gate you need an overview of all the curriculum you will be taught in your entire degree and in Higher studies you will be basically focusing on 1 or a bunch of subjects for your research , you have to study those subjects in depth and also out of the curriculum for your higher studies. "
Why there are less number of students in production engineering as comapare to other department  ? ,If you are asking about the total number of students that got admitted in one batch of production engineering. It depends on the total number of seats that are alloted to each departrment there is no logic behind why there is less number of seats in one department then another department.
Is there enough time for someone to manage CGPA in this department as well as manage time to study for data analyist/science.,"For departmental study you can cover most subjects and get a decent gpa just by studying two or three weeks before the exam ,rest of the time you can devote to data analyistics/science and you can make a routine and follow it for better time mangement."
Does a student of our department can get RA if he get caught cheating during examinations?,"Yes ,if caught cheating or using any unfair means the professor has the right to give RA toi the student without any prior warnings."
How to get internships and mainly how to get non - departmental internships and that too while studying in this department?,"You can use either of the following steps to get an Internship outside the University:
1. Cold mailing or Cold Messaging recruiters or Professors depending upon the type of Internship you want to do and wait for a reply regarding relevant opportunities.
2. Looking out for jobs posted on hiring sites such as LinkedIn, Internshala, Cuvette etc. for opportunities in areas that interest you.
3. Use your personal contacts for getting an Internship/ Industrial Training."
